indice_tiempo,demanda_total,demanda_residencial,comercio_e_industria,grandes_usuarios,temperatura_promedio,potencia_maxima,ede_tucuman,edelap_sa,edenor_distribuidor,edesal_distribuidor,edestesa_emp_dist__este,edesur_distribuidor,emp_de_energia_de_rio_negro_sa,emp_dist_energ_atlantica,emp_de_energia_de_la_rioja_sa,emp_dist_energia_de_salta,emp_electric_misiones_sa,empresa_dis_estero_sa,empresa_jujenia_de_energia_sa,energia_de_catamarca_sa,energia_de_entre_rios_sa,energia_de_mendoza_sa,energia_san_juan_sa_exedessa,epec_distribuidor,epen_distribuidor,epesf_distribuidor,recursos_y_energia_formosa_sa,secheep,spse_santa_cruz
2013-10-01,10045.715632000001,3744.4781970000026,3967.437434999999,2333.8,18.5,19484.0,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,10015.701652,3680.7364479999987,4096.265204000001,2238.7,21.1,20436.0,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,12291.286493000003,5338.633582,4775.0529110000025,2177.6,27.0,23794.0,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,12004.342368,5350.967240000003,4501.975127999996,2151.4,25.9,24034.0,261.62569,204.71994400000003,1922.8806319999999,119.06310400000001,85.47327800000001,1621.9482209999999,111.03567699999999,259.423668,121.42424400000002,154.52937400000002,188.97086100000004,126.46891500000001,80.13010399999999,89.900861,287.022917,373.214013,183.72491000000002,834.5096599999999,76.98521400000001,965.415634,132.913227,265.43483699999996,32.668969000000004
2014-02-01,9823.968201000005,3883.7753299999968,3875.392871000008,2064.8,23.0,21507.0,214.32627399999998,165.53549600000002,1451.3970009999998,86.86931700000001,56.243905,1243.061038,114.22193700000001,220.252858,90.199606,135.87621600000003,179.17362400000002,114.205207,68.189694,73.368425,211.861456,259.14025100000003,125.694551,661.6581799999999,68.925505,723.6489700000001,119.104259,235.94828600000002,34.384486
2014-03-01,9789.798788999995,3666.8686809999995,3944.030107999995,2178.9,20.7,19105.0,190.60786599999997,174.37100300000003,1496.242732,83.169881,55.310022999999994,1274.5235550000002,119.87083,213.65336,81.809809,140.86604499999999,169.822991,91.04300700000002,65.848816,68.30952799999999,199.47441100000003,247.004701,109.79768,644.5750129999999,74.43228500000001,691.3052490000001,98.30927,188.98751800000002,41.81690100000001
2014-04-01,9595.37435,3542.163134999998,3869.9112150000024,2183.2999999999997,18.3,19537.0,178.857749,176.488634,1488.576271,83.914777,55.117131,1239.4787999999999,103.666055,201.47072900000003,71.78416800000001,132.030163,155.78542499999998,88.842348,61.845752999999995,62.865548,191.971886,239.997821,102.078824,643.4668899999999,67.59758900000001,688.94802,89.74712000000001,182.271965,43.068396
2014-05-01,10409.105006000005,4182.488527000001,4007.216479000004,2219.4,15.0,20933.0,188.950006,209.89302899999998,1777.9774729999997,94.82550700000002,54.379142,1433.3538999999998,109.61996400000001,217.016369,76.925426,138.12527799999998,128.27892,85.878577,64.176431,69.653458,200.844913,259.100636,116.24972899999999,708.8984009999999,74.030272,748.047064,80.83649100000002,167.505864,45.841761
2014-06-01,10901.714975999996,4790.674034,3995.140941999996,2115.9,12.4,21716.0,201.969593,234.29223399999998,2012.854524,103.703513,52.835084,1599.8454870000003,106.25634899999999,218.012417,84.279805,145.488499,102.12627400000001,88.93645799999999,64.755961,76.72048299999999,207.49040100000002,268.172167,131.909391,758.174469,74.070042,798.6152950000001,75.199265,165.774521,47.692626000000004
2014-07-01,11363.942102000006,5115.928828000003,4121.013274000004,2127.0,12.4,21950.0,211.24058800000003,245.920223,2123.7586570000003,109.898767,55.755856,1691.6446389999999,108.73675300000001,228.55102,91.54750800000001,154.442056,86.55358500000001,97.292708,71.33577100000001,83.69034,216.93675199999998,284.00835900000004,142.281505,789.066702,77.47536699999999,839.0654249999999,79.35522300000001,181.00714799999997,48.027226
2014-08-01,10490.682389,4454.936700999998,3946.3456880000017,2089.4,15.3,20947.0,193.59715000000003,217.26617,1836.092837,102.218775,56.959792,1483.2106569999999,103.36515599999998,220.69518000000002,87.769836,141.353693,97.92831699999999,90.658943,66.12005400000001,73.46502199999999,206.21697200000003,274.63376800000003,122.89292800000001,725.132046,74.295427,762.5969620000001,79.710053,181.85791,42.832902000000004
2014-09-01,9807.544191000005,3746.934696000001,3942.809495000003,2117.8,16.0,19419.0,188.93863000000002,189.567847,1591.9759000000001,95.26643600000001,59.149786,1311.6850020000002,96.66485899999999,207.10105,84.515326,138.747862,128.039137,91.303958,65.884497,69.058237,189.39372500000002,263.581474,112.03237299999999,665.510351,71.73566,689.195186,82.93717699999999,172.10620699999998,45.44718700000001
2014-10-01,10706.493140999997,4186.567586999998,4233.9255539999995,2286.0,20.2,22147.0,249.92409,187.27728600000003,1650.9117939999999,102.178185,68.110492,1381.3717080000001,96.154597,210.21273899999997,105.71697200000001,164.72344400000003,135.796905,126.457004,76.411456,84.36375,214.640812,293.38359199999996,131.70387800000003,740.0399960000001,70.59918,775.172301,116.468847,236.00772000000003,44.47207
2014-11-01,10344.736671999999,3928.614071,4181.122600999999,2235.0,20.9,22055.0,223.170375,176.014227,1571.7203940000002,103.50170599999997,69.888496,1317.2061749999998,92.73194399999998,201.534832,105.38136000000002,150.844928,161.415649,111.83038099999999,74.58127900000001,79.730707,213.480158,297.892411,140.442819,701.5922349999998,68.389913,765.6614179999999,102.34889299999999,212.780666,41.505316
2014-12-01,11229.377820000003,4594.222428000001,4422.155392000002,2213.0,23.4,23104.0,241.328994,197.165641,1770.893145,109.002807,77.085544,1491.503676,101.616501,228.541228,113.71988100000002,159.40497100000002,177.931015,124.73061100000001,80.696206,86.31044899999999,243.544823,321.30418799999995,168.11207700000003,754.228863,73.344385,841.32818,122.78787299999999,246.088891,42.071658000000006
2015-01-01,11706.190093000007,5096.405805000001,4485.784288000005,2124.0,24.3,23949.0,257.43228600000003,197.343005,1855.852136,112.48124299999999,83.759399,1536.4443260000003,118.60078200000001,257.494218,119.00380799999999,167.044777,144.272549,150.808495,82.706117,88.01443400000001,276.070203,362.407228,187.65971,812.465571,80.409115,924.1251139999999,132.037641,276.584836,40.386661
2015-02-01,10665.086621000006,4438.153482000003,4194.9331390000025,2032.0,24.7,23573.0,227.302584,189.58576499999998,1707.985804,93.399851,61.712585,1420.045899,119.24667899999999,235.327855,100.628974,148.52098999999998,184.748883,124.87954600000002,73.58270900000001,77.72053400000001,249.892135,282.342942,147.347887,690.0409380000001,73.901468,811.9302340000002,121.24958299999999,251.28667,36.65114500000001
2015-03-01,11548.527071999993,4823.967699999999,4487.559371999994,2237.0,22.9,23409.0,237.30299100000005,204.626881,1870.4712450000002,102.817606,65.50392699999999,1550.857781,132.228008,236.96734899999998,101.27785,160.349205,199.970423,127.402728,74.97307400000001,74.959228,252.52469200000002,297.340145,160.19827600000002,771.5727150000001,83.799954,875.7063589999999,126.53111700000001,263.638286,43.460947
